P38828	P38315
P38828	P37366
P15179	P27515
Q99257	Q03220
Q99257	Q03785
P40522	P38315
P37254	Q03785
P37254	Q03220
P37254	P29509
P28263	P38315
P28263	P32447
Q04199	Q03785
Q04199	Q03220
Q04199	P38315
Q04199	P32447
P48567	P38315
P48567	P37366
P39937	Q03220
P22214	P38315
P33312	P27515
P23287	P34730
P23287	P39962
P53878	P37366
P53878	P29509
P27616	P38315
Q02159	P38315
P32381	P38315
P32381	P32447
P00815	P27515
P53128	P27515
Q05473	P38315
Q05473	Q03220
Q05635	P38315
P08465	P32906
P57743	P38315
P57743	P37366
P57743	P32447
P53833	Q06224
P53833	Q08361
Q03653	P38315
P40187	P38315
P40187	P37366
P43605	P40103
P13130	P29509
P13130	P32906
P20606	P38315
P32561	P38315
Q07825	P37366
P40478	P40103
P53941	Q08361
Q03465	Q05937
Q03465	P38315
Q03465	P32447
Q06103	P38315
Q06103	P37366
P27351	P38315
P27351	P37366
P32351	Q03785
P32799	P47131
P40493	P53239
Q04119	P29509
P23059	P38315
P23059	P37366
P21306	P40103
P38852	P38315
P38852	P32447
Q06340	Q12339
Q06340	P38315
Q06340	Q03220
P53256	P17065
P36080	P38315
P36080	P32447
P00360	P29509
P39953	P18238
P53039	P40103
P46670	P32447
P05739	Q06217
P05739	P53295
P40499	P40103
Q06160	P38315
Q08904	Q03220
P37012	P27515
P22213	P38315
P38195	P32447
P23594	Q03785
P23594	Q03220
P23594	P38315
P23594	Q08361
P23594	P37366
P23594	P32447
Q12522	P38315
P11632	P37366
P40007	Q03220
P40007	P38315
P40007	P32447
P40007	P37366
P04911	P32447
P04911	P37366
Q06665	P38315
Q12339	P38315
P50085	Q08361
P40515	Q03785
Q9P305	P37366
Q08647	P38315
Q08647	P37366
Q06489	P27515
Q01802	P29509
Q00246	P29509
P53734	P39961
Q05567	P29509
P36017	P29509
P53879	P38315
Q02555	P38315
Q02555	P37366
P38709	P38315
P38709	P32447
P38711	P37366
P40994	P32864
P40994	P38315
P40994	P29509
P20434	P38315
P20434	P37366
Q08741	P32447
Q12051	P27515
Q12049	P38315
O13555	P32447
Q04179	P27515
P0CG63	P38315
P0CG63	Q03785
P0CG63	P37366
P0CG63	P32447
P38615	P32906
P32316	Q03785
P32316	Q03220
P25554	P38315
P25554	P32447
P54113	P27515
Q00711	Q03220
Q00711	Q03785
Q00711	P38315
Q00711	P37366
P43604	P40103
P53197	P38315
Q04213	P17065
Q04213	P53256
Q02887	P38315
Q02887	P32447
P53167	P38139
P53167	P38315
P53167	Q03785
P38920	Q03220
P38920	P38315
P38920	Q03785
P38920	P29509
P38920	P37366
P38920	P32906
P38920	Q08361
P32342	P38315
P21242	Q03785
P21243	Q03785
P53011	P38315
P53011	Q08361
P53011	P32447
P53011	P37366
P53011	P29509
P48564	P38315
P38757	P14681
P40302	Q03785
P38182	Q03785
P0C0X0	P38315
P0C0X0	P37366
P00445	P27515
Q04902	Q03785
P36149	P38315
P29311	Q03785
P29311	P38315
P29311	Q08361
P29311	P37366
P41895	P38315
P41895	P32447
P22354	Q08361
Q05775	P38315
Q03144	P38315
Q03702	P38315
Q12358	P29509
Q02753	P32447
P32598	P38315
P32598	Q03220
P32598	Q03785
P32598	P27515
P32598	Q08361
P32598	P32447
P38912	P37366
Q08729	P38315
Q08729	Q03220
Q08729	P37366
P39998	Q03220
P39998	P38315
P39998	P32447
P25555	P38315
P25555	P37366
P32340	P32906
P47052	Q03220
P47052	Q03785
P47052	P38315
P47052	P32906
P47052	P37366
Q06631	P38315
Q06631	P37366
Q06631	P32447
Q00776	P38315
Q00776	P32447
Q00776	P37366
Q12239	P40103
Q02939	Q04347
Q02939	P28000
Q02939	Q04225
P06844	P38315
P06844	P32447
P53043	P38315
P53043	P37366
P19882	P38315
Q12050	P47130
Q12050	P26309
Q12050	Q12090
Q12050	P02365
P27999	P38315
P27999	Q03220
P47130	P26309
P47130	Q12090
P47130	P40955
P47130	P02365
P53841	P32447
P06843	P38315
P06843	P32447
P32524	P38315
P53201	P37366
Q07748	P32906
P53166	P38315
P53743	P37366
P32468	Q03785
P32468	P38315
P38704	P37366
P33324	P14681
P33324	P41814
P40368	P38315
P40368	P32447
P38315	P37366
P53909	P27515
P28789	P37366
P28789	P27515
P35196	P27515
P38238	Q03220
P38238	P38315
P01120	Q03785
P01120	P29509
P53156	Q08361
P38061	P38315
P38061	P32447
P38061	P37366
P53861	P40498
P53861	Q12208
P53861	P38315
P40348	P38315
P40348	Q03220
P40970	P27515
P38328	P38315
P09201	P27515
P47150	Q08361
Q05955	P38315
Q05955	P32447
P54838	P27515
P38348	P38315
P04385	P38315
P04385	P27515
P17157	P38315
P17157	Q03785
P17157	Q03768
P17157	P37366
P18851	Q03785
P18851	P38315
P18851	P37366
Q12743	P40103
Q12033	Q03785
Q12033	P38315
P38763	P38315
P38763	P29509
P17119	P38315
P17119	P32447
P53885	P38315
P53885	Q03220
P19414	P29509
P38818	P32906
P31383	P38315
Q06682	P38315
Q06682	P32447
Q06682	P29509
P33304	P38315
P46943	P27515
P40077	P38315
Q12035	P38315
Q12035	Q03220
Q12035	P32447
Q12035	P37366
Q02209	Q03220
Q02209	P38315
Q02209	P37366
Q04934	P38991
Q12380	P38315
P32913	P38315
P36526	P32447
Q12468	P33417
P36013	P32906
P36013	P29509
P38326	P38315
P38326	P37366
Q03067	P32447
Q03067	P37366
P53150	P38315
P36106	P38315
P36106	P32447
P36106	P37366
P38625	Q03220
P38625	P38315
P38625	Q08361
P38625	P29509
P38625	P27515
P20049	P32263
P53742	P38315
P53742	Q03220
Q06449	Q06336
P38858	Q03220
P38858	Q03785
P38858	P27515
Q12748	P38315
Q03308	P38315
P47771	P27515
A5Z2X5	P54837
P07249	P37366
P39994	P37366
Q12154	P27515
Q12154	P37366
Q12166	P29509
P40416	Q03220
P40416	P29509
P40096	P32447
P40096	P37366
P47032	P40103
P04147	Q12159
P38330	P38315
P38330	P29509
P36118	P38315
P36118	P37366
P05737	P37366
P25639	P40103
P11745	P38315
P11745	P32447
Q08649	P38315
Q08649	Q03220
Q08649	P32447
P53538	P38315
P32378	P27515
P12612	Q08273
P53921	Q03220
P53921	P32447
P40015	P29509
P36130	P38315
P36130	P37366
P05750	P37366
P05750	P32447
P48559	P29509
P32353	P27515
P38803	P47130
P38803	P26309
P38803	P02365
P38283	P38315
P45819	P37366
P26784	P38315
P26784	Q03220
P26784	P37366
Q06208	P38315
Q06208	P37366
P41896	Q03220
P41896	P38315
P17121	P38315
P17121	P32906
P43607	P06243
Q12510	P38315
Q12510	Q03220
Q12510	P32447
P53946	P38315
P25341	Q08225
P38174	P37366
Q12254	P36156
P12688	P34243
Q06267	P32447
Q05040	P38315
P35996	P32447
P25593	P38315
P25593	Q08361
P25593	P37366
P25637	P37366
P46958	P29509
P46958	P32447
Q6B0X2	P32447
P38782	P32906
Q12363	P37366
P43497	P32906
P32910	P07253
P32910	Q03220
P32910	P38315
P32910	P37366
P32910	Q08361
P43609	P38315
P43609	Q08361
P43609	P37366
Q08683	P38315
P47168	P38315
P47168	P32447
Q03036	P37366
P38334	P38315
P25087	P40103
P25337	P38315
P25337	P37366
P00572	P27515
P00572	P32906
Q06524	P32799
P33421	P40103
P43535	P38315
Q08919	P29509
P0CD91	P32906
Q92317	P38315
Q92317	P37366
Q12084	Q03785
Q12084	P27515
P38772	P32447
Q07927	P32447
P0C0W9	P32447
P53335	P38315
P33328	P40103
P53866	Q03220
P53866	P38315
Q12208	P40498
Q12208	P47017
Q12208	P38315
Q12208	Q03220
P43561	P38315
P43561	P32447
P43561	P32906
P34072	P38315
Q04489	P27515
P32776	P53011
P32776	P38315
P32939	P29509
P38721	P38315
P53131	P38315
P53131	Q03785
P53131	Q03220
P53131	P37366
P39517	P38315
P39517	Q03220
P39517	Q03785
P46992	P40103
P46673	P38315
P46673	P37366
P15108	Q03785
P15108	P27515
P15108	P37366
P26786	P37366
P52893	P38315
P52893	P32906
P33322	Q03220
P33322	P38315
P26188	Q03785
Q9ZZX0	P32906
P38998	Q03785
P53686	Q03785
P53686	Q03220
P53686	P27515
P54790	P38315
P54790	Q03220
P53109	P40103
P53109	P32447
P19736	P38315
P19736	P37366
P22768	Q03785
P22768	P27515
P22768	P29509
Q12415	P27515
Q08952	P48581
Q04003	P38712
Q04003	P38315
Q06696	P38315
Q06696	Q03220
Q06696	P37366
P23724	Q03785
P39959	P38315
Q99326	P49956
Q99326	P40161
P23833	P40103
Q01589	P32906
Q03151	P38315
Q03151	Q03220
Q04418	P38315
P53218	P37366
P53541	P32906
P38793	P20448
P38793	P38315
O94742	P40103
Q12074	P27515
P53202	P38315
P53202	Q08361
P48164	P32447
Q12149	Q03220
Q12149	P38315
P05749	P38315
P40167	P47130
P40167	P26309
Q06678	O74700
P16151	P40103
P11746	P32447
P53551	Q03785
P53551	P27515
P47077	Q03220
P47077	P38315
P33767	P29509
P33201	P38315
P33201	P37366
Q04049	P38315
P32633	P32447
Q06218	P38315
Q06218	Q03220
Q06218	P37366
Q06218	P32447
Q08109	P40103
P38889	P29509
P38889	P37366
P06634	P38315
P06634	Q03785
P28241	P32906
P47153	P40103
P40956	P38315
Q04772	Q08361
P53901	P38315
Q06511	P36531
Q06511	P38315
Q02354	Q03220
Q02354	P38315
P32493	Q03785
P32493	P38315
P34219	P32906
P38993	P38315
P38993	Q03220
P38993	P37366
P43573	P38315
P43573	P37366
P43573	P32447
P21192	P23291
P29055	P38315
P29055	P37366
P38208	P26309
P53093	P40103
P47155	P40103
P47155	P32447
P25617	P38315
P25617	P37366
Q06675	Q03220
Q06675	P38315
Q06675	P37366
Q12745	P38315
Q12745	P37366
P32345	P38339
P32345	P25693
P32345	P38315
P32345	Q03785
Q06406	P25632
Q06406	P38315
P42935	P38315
P42935	P37366
P42935	P29509
P21801	P32906
P46678	P38315
P46678	Q03785
P46678	P37366
P25368	P38315
Q06134	P38315
P53880	P32447
P40546	Q03220
P40546	P38315
P40546	P37366
P14306	P40103
P32048	Q03220
P32048	P27515
Q00618	P38315
P38934	P38315
Q00723	P32447
Q05580	Q03785
Q12265	P27515
Q12303	P29509
P04173	P29509
P31376	P38315
Q03430	P38315
P53863	P38315
P40422	P37366
P53769	P38315
P06774	P37366
P53972	P38324
Q08271	P32906
P20053	P38315
P53688	P27515
P34162	Q03785
P34162	P37366
P05748	Q03220
P05748	P38315
P05748	P37366
P40459	P27515
P38792	P38315
P38792	P29509
P38792	Q08361
P53215	P38315
P53215	P37366
P31377	P40103
P40070	P32447
P40489	P34730
P09624	P32906
Q6Q595	P38315
Q6Q595	Q03220
Q6Q595	P37366
P53279	P40103
P53733	P32447
P53378	P25454
P53378	P32906
P38089	P34730
P38887	P38315
P38887	P37366
P50082	P38315
P50082	Q08361
P36046	P40103
Q00362	P40362
Q00362	P04650
Q00362	P25453
P32841	P35718
P00924	P29509
P00924	P27515
Q08496	P47079
P12695	P29509
P87272	P32447
P52871	P40103
Q06188	P38315
Q06188	P37366
Q12196	P38315
Q12196	P32447
Q07993	P18238
P47039	P32906
P32912	P38315
Q06149	Q03785
Q06149	P32906
P47048	P38315
P09932	P38315
P38067	P27515
P53615	P27515
P25453	P22211
P25453	P23291
P25453	Q12504
Q03687	P40103
P38720	P47130
P38720	Q06169
Q03630	P38315
Q03630	Q03785
Q03630	P27515
P38177	P37366
Q06648	Q03220
Q06648	P38315
Q03525	P32447
O14467	P37366
Q04377	P38315
P38292	P40103
P53877	Q03220
P53877	P38315
P53829	P37366
P02294	P32447
P02294	P37366
P32864	P32447
P15732	P38615
P15732	P38315
Q12059	P38315
P38128	Q03785
P38128	P37366
P54999	P40161
P54999	P49956
P31115	P40042
P39952	P32906
P38278	P37366
P34243	P0CX53
P34243	Q08273
Q03654	P38315
Q03654	Q03220
P33297	P37366
Q08822	Q03785
Q08822	P37366
Q12092	Q03220
Q12092	P38315
Q12092	P37366
P28777	P38315
P06700	Q03785
P06700	P27515
P40354	P38315
P40354	Q03220
Q07350	P38315
Q07350	Q03220
P46959	P38315
P0CX31	P38315
P0CX31	P37366
Q04401	Q08361
P48236	P40103
P38338	P38315
P07884	P27515
P47095	P38315
P27614	P29509
P25567	P38315
P25567	P37366
Q12186	P37366
P21576	Q03785
P40308	P32447
P52488	P37366
P38771	Q08361
P38801	P38315
P50079	P37366
Q00764	Q03785
Q00764	P32906
P32473	P27515
P23595	P38315
P23595	Q03220
P23595	Q03785
P23595	Q08361
P20435	P37366
P03878	P29509
P53260	P40314
P38856	P38315
P07260	P37366
P53738	P38315
P53738	Q03220
P40303	Q03785
P40303	P38315
P34164	P29509
P34164	P40103
P34164	P37366
P43623	P29509
P28834	P29509
P28834	P32906
P52286	P38315
P52286	P32447
P25043	Q03785
P25043	P37366
A0A023PZE8	P3
P20084	P32447
P20084	P37366
P38317	P40103
P19956	P37366
Q04364	Q03785
Q12214	P37366
Q06624	P32447
Q06624	P37366
Q12342	P38315
Q3E840	Q08273
P32875	P38315
P32875	P37366
P36049	P38315
P36049	Q03220
P36049	P37366
P36049	P32447
P53196	P38315
P53196	P37366
P15731	P38315
P15731	P32447
P00817	Q08361
P00817	P37366
P12887	P27515
Q03559	P37366
P40080	P37366
P38754	P32447
P53741	P37366
P05747	P38315
P05747	P32447
P41816	P27515
P53904	P37366
Q05506	P38315
Q05506	Q03220
Q05506	P27515
Q07381	P38315
Q07381	Q03220
Q07381	P32447
P06780	P38315
P38063	P27515
P37262	Q03220
P37262	P27515
P37262	P32906
P37262	P37366
P36521	Q03220
P36521	Q03785
P36521	P38315
P36521	P37366
P32481	P37366
P53096	P38315
P53096	P32447
P48362	P32447
Q07923	P49956
Q12222	Q03220
Q12222	P32906
P38913	P38315
P38913	P27515
P42841	P38315
P42841	P37366
P36102	P38315
Q12348	Q03785
Q12348	P38315
Q12348	P37366
P35197	P40103
P35197	P37366
P47176	P26448
P47176	P54999
P33751	P27515
P33751	P32906
P41733	P32906
P32379	Q03785
P32379	P38315
Q12080	P38315
Q12080	Q03220
Q12480	P27515
Q6B0Y7	P32447
P32325	P38315
Q08818	Q03785
P20433	P38315
P53312	P32906
P53330	P32910
P32526	P24869
Q04659	P38315
Q04659	P37366
P38822	Q03785
P53147	P37366
P40539	P40103
P25374	P37366
P53073	P40103
Q08902	P29509
P38719	P38315
P38719	Q03220
P38719	P32447
P25441	P38315
P40500	P40103
Q05029	P38315
Q05029	P29509
P36015	P36019
P36015	P38315
P36015	Q03785
P36015	P27515
P0CX51	P32447
P38788	P37366
P40050	P38315
P40050	Q03220
Q03175	P27515
P25627	P38315
P06778	P38315
P38786	P38315
P40051	P37366
P15873	P53145
P15873	P38315
P15873	P37366
P20134	P29509
Q05670	P15705
Q05670	P38315
P47177	P27515
P39077	Q03220
P39077	P38315
P39077	P29509
P39077	P37366
P39077	P27515
P39077	P32906
Q08219	P40103
Q12182	P38315
Q12182	Q03220
P05756	P38315
P05756	P47084
P05756	P37366
P54000	P38315
P53982	P29509
P53982	P32906
P25584	P40103
P22470	Q03785
P22470	P29509
P51534	P38315
P53318	P29509
P32562	P38315
P47025	P38315
P47025	P29509
P47025	P37366
P40063	P38315
P54867	P40103
P25039	P38315
P25039	P37366
P25039	P27515
Q12255	P38315
P53295	P38315
Q12333	P40103
P21826	P37366
P30657	Q03785
P35817	P54999
Q12420	P38315
P40986	P40103
P24720	Q03220
P24720	P38315
Q3E754	P34730
Q12090	P26309
Q12090	P02365
Q12090	P40955
P36160	Q03220
P36160	P38315
P36160	P37366
P32191	P38315
P32191	P27515
P32191	P29509
P35997	P37366
Q12499	P38315
Q12499	Q03220
Q12499	P32447
P32893	P29509
P25454	Q03220
P25454	Q03785
P25454	P38315
P25454	P32447
Q08745	Q03785
P47086	P37366
P53169	P38315
P53169	P32906
P54791	P38315
P54791	Q03220
P54791	P37366
P53847	P38315
P53847	P37366
P41913	P37366
P42838	P37366
P40066	P38633
P40066	P38315
P06197	P27515
P35843	Q03785
Q08421	P38315
P32190	Q03785
P32190	P32447
P32190	Q08361
P32190	P32906
P00401	P32906
P10081	P38315
P10081	Q03785
P10081	Q03220
Q05533	P27515
P00045	P32906
P00045	P27515
Q08774	Q03220
P38785	P17065
P38789	P38315
P38789	Q03220
P36534	P05747
P36534	P38315
P36534	P37366
P38833	Q03220
P38833	P38315
P38833	P32447
Q12211	P49090
Q12211	Q03785
Q12211	P38315
Q12211	P29509
P02293	P37366
Q08961	P38315
P38883	Q03220
P38883	P38315
P04161	Q03785
P04161	P29509
P04161	P27515
P25577	P40103
P39875	P38315
P39875	P37366
P22139	P38315
P22139	P32447
P53905	P38315
P38258	P32447
P53183	P29509
P53183	P32906
Q08032	P38315
Q08032	P32447
Q08032	P37366
P53088	Q03220
P53088	Q03785
P53088	P38315
P53088	P27515
P53088	P37366
Q12164	P40103
P38932	Q03220
P38932	P38315
P40992	P38315
Q08974	P40103
P53881	P38315
P53881	P32447
P53881	P37366
P38922	P38315
P38922	P32447
P38922	P37366
P33759	Q99383
P53290	P29509
P35719	P38315
Q02892	Q03220
Q02892	P38315
P43124	P26309
P06242	P37366
P37298	P40103
Q02208	P38315
Q12298	Q03220
Q12298	P38315
Q12069	P38315
Q12069	P37366
P43554	P38315
Q12086	P38315
P43570	P38315
P38170	P38315
P38170	P37366
P38962	P40103
P30283	P38315
P30283	Q03220
P30283	P32447
P28000	Q06820
P28000	Q04347
P28000	P30620
P28000	Q04225
P09620	P32906
P09620	P32447
Q12446	P38315
Q12446	P37366
P26754	P37366
P39534	Q03220
P39534	P38315
P39534	Q03785
Q12355	P32906
P53319	Q03785
P53319	Q03220
P53319	P29509
P40314	P38315
